Ticker,Sector,Samples,F1_Baseline,F1_PCA,F1_Sector,AUC_Baseline,AUC_PCA,AUC_Sector,F1_PCA_Improvement,AUC_PCA_Improvement
ABUK.CA,Banking,5614,0.726825266611977,0.6835664335664335,0.7027477102414654,0.7673941410582632,0.7348078554185424,0.735153650420826,-0.0432588330455434,-0.0325862856397207
ADIB.CA,Banking,5931,0.7657393850658858,0.7805232558139535,0.75,0.8249728278622802,0.8312922059024418,0.793031460287104,0.0147838707480677,0.0063193780401615
AMOC.CA,Industrial,4683,0.7128309572301426,0.6786324786324787,0.6194368755676658,0.743537302916335,0.6190417364409184,0.5774425563455678,-0.0341984785976638,-0.1244955664754166
BTFH.CA,Other,3597,0.6471600688468159,0.6260869565217392,0.6276422764227643,0.7686515920922359,0.7466385615278975,0.7310210469164192,-0.0210731123250766,-0.0220130305643383
CICH.CA,Other,1812,0.8503649635036497,0.8628158844765343,0.8617594254937163,0.8159659896079356,0.8205479452054795,0.8232404345772318,0.0124509209728846,0.0045819555975438
CIEB.CA,Banking,5070,0.7897774113767518,0.7628361858190709,0.7449718423169751,0.8327996406331779,0.7542994201500933,0.733652312599681,-0.0269412255576809,-0.0785002204830845
CLHO.CA,Consumer,2155,0.7317073170731707,0.7509025270758123,0.7198515769944341,0.7679921453117329,0.749607265586647,0.7370643102601866,0.0191952100026415,-0.0183848797250858
COMI.CA,Banking,5967,0.7760299625468164,0.7844574780058651,0.7549962990377498,0.8383438795226928,0.8261899494077909,0.7866955765004352,0.0084275154590486,-0.0121539301149019
EAST.CA,Other,5890,0.7896625987078248,0.8255977496483825,0.8028368794326242,0.8406841589986489,0.8671331017424218,0.8508648060095707,0.0359351509405576,0.0264489427437728
EFID.CA,Other,2496,0.7429643527204502,0.6839378238341969,0.7027027027027027,0.8066462316936701,0.6862096368737735,0.6957297393730031,-0.0590265288862533,-0.1204365948198966
EFIH.CA,Industrial,950,0.7706422018348624,0.7757009345794392,0.7706422018348624,0.8466066481994461,0.8348337950138504,0.8392197599261311,0.0050587327445767,-0.0117728531855957
EGBE.CA,Banking,5675,0.6863387978142077,0.684393063583815,0.6864310148232611,0.8011442996450493,0.8061321903150988,0.7982707364266585,-0.0019457342303926,0.0049878906700494
EKHO.CA,Other,5249,0.655421686746988,0.6528384279475983,0.6517571884984026,0.7837320937292478,0.7489611991272175,0.7761996015558297,-0.0025832587993896,-0.0347708946020303
EMFD.CA,RealEstate,2482,0.7421602787456446,0.7850799289520426,0.7630662020905923,0.7995248538011696,0.8419059011164274,0.8188131313131313,0.0429196502063979,0.0423810473152578
ETEL.CA,Industrial,4863,0.8285714285714286,0.8421828908554573,0.8489736070381232,0.8428409771683418,0.8260500565799107,0.8486099092502608,0.0136114622840286,-0.0167909205884311
EXPA.CA,Other,5920,0.7607260726072608,0.747457627118644,0.75,0.8135679367690059,0.8178825155336258,0.8193273711622808,-0.0132684454886167,0.0043145787646199
FAIT.CA,Banking,5451,0.8176197836166924,0.8325859491778774,0.7993920972644377,0.84307570899422,0.856064753265035,0.7705091108156722,0.014966165561185,0.0129890442708149
FWRY.CA,Consumer,1490,0.8158508158508159,0.8449438202247191,0.8177570093457944,0.8249253839994177,0.8185193273640533,0.8138603770837882,0.0290930043739032,-0.0064060566353644
GBCO.CA,Industrial,4455,0.7992766726943942,0.7853309481216458,0.7678244972577697,0.8204564722680826,0.8037570835750302,0.7731582704921691,-0.0139457245727483,-0.0166993886930524
HDBK.CA,Banking,5847,0.8002610966057441,0.7881899871630296,0.7714101738570509,0.8465094446973145,0.7937279528903051,0.7588046199362767,-0.0120711094427145,-0.0527814918070094
HELI.CA,Other,5950,0.7068819031435853,0.6719298245614035,0.7385892116182573,0.7961216066176782,0.7738677424914044,0.8132449620155894,-0.0349520785821818,-0.0222538641262737
HRHO.CA,RealEstate,5764,0.7797665369649806,0.783410138248848,0.7600302800908403,0.8216636966636967,0.8193464755964756,0.7833073458073457,0.0036436012838674,-0.002317221067221
ISPH.CA,Other,1923,0.8279569892473119,0.8333333333333334,0.8288288288288288,0.7845555804739479,0.8205875756896165,0.8001046572475145,0.0053763440860215,0.0360319952156685
JUFO.CA,Consumer,3743,0.7890535917901939,0.7882219705549264,0.8152295632698768,0.8400289788759246,0.8393426370777092,0.8548310836574391,-0.0008316212352674,-0.0006863417982154
MASR.CA,Other,5612,0.7671913835956918,0.7566693613581245,0.7809983896940419,0.8049456749524455,0.7697972079827191,0.8148402488957668,-0.0105220222375673,-0.0351484669697264
MFPC.CA,Consumer,2190,0.5448504983388704,0.5573770491803278,0.5512820512820513,0.7404076186970924,0.7586262421788738,0.7651821862348178,0.0125265508414573,0.0182186234817813
OCDI.CA,RealEstate,5924,0.7305577376276512,0.7378939277478862,0.7358778625954199,0.7825540222068496,0.7919954507615286,0.7697417017434839,0.007336190120235,0.0094414285546789
ORAS.CA,Other,167,1.0,0.6666666666666666,0.5531914893617021,0.5,0.5,0.5,-0.3333333333333333,0.0
ORHD.CA,RealEstate,3202,0.7664041994750657,0.7658473479948253,0.791005291005291,0.8236438798144787,0.7911373260738052,0.8332425892316999,-0.0005568514802403,-0.0325065537406735
PHDC.CA,RealEstate,4268,0.7957405614714425,0.7795957651588066,0.7857829010566763,0.8029267774149162,0.7770605847649306,0.7821688625371309,-0.0161447963126358,-0.0258661926499856
SAUD.CA,Banking,5741,0.8247272727272728,0.8108484005563282,0.7947598253275109,0.8601574823765047,0.8555102468271163,0.8127262254629236,-0.0138788721709445,-0.0046472355493883
SKPC.CA,Industrial,4965,0.7520585544373285,0.7675675675675676,0.768,0.7992129218837293,0.8118242466068554,0.8009875447763647,0.0155090131302391,0.012611324723126
SWDY.CA,Consumer,4741,0.7752613240418118,0.7526501766784452,0.7554019014693172,0.8070264519560907,0.7781033899124715,0.777948643551429,-0.0226111473633665,-0.0289230620436191
