whatTicker,Samples,Train_Pos_Ratio,Test,Endo_F1,Endo_Precision,Endo_Recall,Endo_Threshold,Endo_AUC,Exo_F1,Exo_Precision,Exo_Recall,Exo_Threshold,Exo_AUC,F1_Lift,AUC_Lift,Exo_Better,DM_Stat,P_Value,Significant
ABUK.CA,5625,0.555,1125,0.7531,0.7897,0.7196,0.31,0.7874,0.7703,0.765,0.7757,0.33,0.7811,0.0229,-0.0063,True,8.1793,0.0,True
ADIB.CA,5832,0.496,1167,0.7885,0.752,0.8287,0.46,0.8097,0.7966,0.7682,0.8272,0.43,0.8177,0.0103,0.008,True,10.7021,0.0,True
AIH.CA,2907,0.448,582,0.7752,0.7205,0.8389,0.49,0.8194,0.7638,0.7375,0.7919,0.5,0.8016,-0.0148,-0.0177,False,-3.5118,0.00048,False
AMER.CA,2871,0.444,575,0.7755,0.6556,0.9489,0.5,0.7705,0.7797,0.7019,0.8769,0.49,0.7878,0.0055,0.0173,True,12.519,0.0,True
AMOC.CA,4727,0.505,946,0.7566,0.6642,0.8788,0.43,0.7689,0.7472,0.634,0.9096,0.48,0.7637,-0.0124,-0.0052,False,-12.5378,0.0,False
ARCC.CA,2816,0.465,564,0.7276,0.816,0.6564,0.54,0.754,0.7259,0.8204,0.6508,0.5,0.7651,-0.0023,0.0112,False,-4.5091,8e-06,False
ASCM.CA,2670,0.457,535,0.7106,0.7004,0.7212,0.47,0.7657,0.7325,0.6761,0.7993,0.5,0.7357,0.0308,-0.03,True,-7.8156,0.0,True
ASPI.CA,2901,0.495,581,0.7211,0.7382,0.7049,0.48,0.82,0.7239,0.7026,0.7465,0.46,0.8182,0.0038,-0.0018,True,-4.9151,1e-06,True
BIOC.CA,2036,0.484,409,0.7383,0.6973,0.7845,0.4,0.7744,0.7466,0.6859,0.819,0.5,0.6834,0.0111,-0.0909,True,-1.9449,0.052468,False
BTFH.CA,3557,0.442,712,0.7372,0.6422,0.8653,0.31,0.8068,0.708,0.6556,0.7695,0.49,0.8,-0.0397,-0.0067,False,-10.1414,0.0,False
CERA.CA,2908,0.441,583,0.7542,0.6618,0.8766,0.34,0.8058,0.7602,0.6691,0.8799,0.4,0.8113,0.0079,0.0055,True,-4.5559,6e-06,True
CICH.CA,1837,0.503,369,0.7702,0.749,0.7925,0.48,0.7156,0.745,0.8,0.6971,0.49,0.7314,-0.0327,0.0158,False,-1.2329,0.218396,False
CIEB.CA,4992,0.533,999,0.7762,0.7309,0.8275,0.37,0.7998,0.7726,0.7431,0.8046,0.34,0.7924,-0.0046,-0.0074,False,-2.4742,0.013519,False
CLHO.CA,2202,0.515,441,0.7556,0.6939,0.8293,0.45,0.7694,0.7587,0.6936,0.8374,0.48,0.756,0.0042,-0.0134,True,-8.2048,0.0,True
COMI.CA,5862,0.588,1174,0.7803,0.7563,0.806,0.49,0.8085,0.8056,0.7951,0.8164,0.48,0.8339,0.0324,0.0254,True,21.5199,0.0,True
COSG.CA,2690,0.562,539,0.7695,0.7557,0.7838,0.49,0.8106,0.7487,0.6111,0.9662,0.37,0.8111,-0.027,0.0005,False,2.3738,0.017954,False
CSAG.CA,2911,0.505,584,0.7796,0.7294,0.8373,0.34,0.7895,0.7807,0.7122,0.8639,0.49,0.7571,0.0015,-0.0324,True,-7.1158,0.0,True
DSCW.CA,2016,0.44,404,0.7224,0.8221,0.6442,0.64,0.8471,0.5139,0.7217,0.399,0.51,0.7457,-0.2885,-0.1014,False,-9.7337,0.0,False
EAST.CA,5806,0.56,1162,0.7902,0.7293,0.8622,0.47,0.8228,0.794,0.7404,0.856,0.44,0.8212,0.0049,-0.0016,True,17.837,0.0,True
ECAP.CA,2902,0.505,581,0.7538,0.6896,0.8311,0.5,0.7225,0.752,0.7276,0.7781,0.47,0.793,-0.0023,0.0705,False,9.1578,0.0,False
EFID.CA,2503,0.446,501,0.7054,0.7273,0.6848,0.59,0.7854,0.7131,0.7306,0.6965,0.53,0.7372,0.011,-0.0482,True,-5.5325,0.0,True
EFIH.CA,1010,0.487,203,0.7739,0.771,0.7769,0.39,0.8076,0.76,0.6706,0.8769,0.48,0.7435,-0.018,-0.0641,False,-0.7645,0.445474,False
EGAL.CA,2884,0.491,578,0.8035,0.8303,0.7784,0.49,0.8421,0.7838,0.8312,0.7415,0.49,0.8337,-0.0246,-0.0084,False,-11.9293,0.0,False
EGCH.CA,2903,0.478,581,0.728,0.7578,0.7004,0.5,0.8099,0.7266,0.7724,0.6859,0.49,0.8249,-0.0019,0.0151,False,10.3815,0.0,False
EGTS.CA,2909,0.474,583,0.7027,0.75,0.661,0.45,0.7793,0.7083,0.772,0.6542,0.44,0.7951,0.0079,0.0158,True,3.7973,0.000162,True
EHDR.CA,2899,0.487,581,0.7399,0.6179,0.9218,0.36,0.8167,0.7709,0.6748,0.899,0.43,0.8294,0.042,0.0127,True,-8.417,0.0,True
EKHO.CA,5178,0.491,1036,0.6787,0.5751,0.8279,0.49,0.8023,0.6908,0.575,0.8651,0.45,0.823,0.0178,0.0207,True,21.2065,0.0,True
ELEC.CA,2908,0.483,583,0.7276,0.7333,0.7219,0.51,0.7758,0.7332,0.7321,0.7344,0.51,0.7675,0.0078,-0.0083,True,-8.7479,0.0,True
ELKA.CA,2764,0.516,553,0.7279,0.7368,0.7192,0.49,0.7817,0.7407,0.7285,0.7534,0.5,0.7698,0.0176,-0.0119,True,-10.0376,0.0,True
ELSH.CA,2892,0.51,579,0.7817,0.7201,0.8548,0.4,0.7967,0.757,0.6483,0.9097,0.48,0.7792,-0.0316,-0.0174,False,-9.3007,0.0,False
EMFD.CA,2549,0.488,511,0.748,0.7695,0.7276,0.45,0.81,0.7426,0.7038,0.786,0.5,0.7298,-0.0072,-0.0802,False,-8.2449,0.0,False
ENGC.CA,2891,0.467,579,0.7566,0.8053,0.7135,0.48,0.7722,0.6178,0.9091,0.4678,0.51,0.8026,-0.1835,0.0304,False,-0.8369,0.403023,False
ETEL.CA,4887,0.513,979,0.7854,0.802,0.7695,0.48,0.7962,0.7865,0.7957,0.7776,0.51,0.783,0.0014,-0.0132,True,-9.7535,0.0,True
ETRS.CA,2910,0.495,583,0.7678,0.7507,0.7857,0.37,0.8278,0.7786,0.7464,0.8137,0.38,0.8117,0.014,-0.016,True,2.2081,0.027628,True
EXPA.CA,5833,0.502,1168,0.7416,0.7098,0.7763,0.48,0.7826,0.7401,0.7401,0.7401,0.47,0.7972,-0.0019,0.0146,False,4.7411,2e-06,False
FAIT.CA,5253,0.544,1051,0.81,0.7661,0.8593,0.44,0.8357,0.7984,0.7561,0.8456,0.48,0.8263,-0.0144,-0.0094,False,-15.0603,0.0,False
FWRY.CA,1545,0.52,310,0.7268,0.787,0.6751,0.35,0.7026,0.6797,0.6557,0.7056,0.49,0.6676,-0.0648,-0.035,False,0.645,0.519426,False
GBCO.CA,4474,0.486,896,0.789,0.8052,0.7734,0.42,0.8029,0.7896,0.8185,0.7626,0.44,0.8016,0.0007,-0.0013,True,-7.4432,0.0,True
GGCC.CA,2910,0.475,583,0.7368,0.6942,0.785,0.41,0.7863,0.7284,0.7217,0.7352,0.45,0.7778,-0.0115,-0.0085,False,-2.075,0.038428,False
HDBK.CA,5771,0.522,1155,0.7834,0.7669,0.8006,0.5,0.827,0.7977,0.7891,0.8065,0.5,0.8205,0.0183,-0.0065,True,9.6024,0.0,True
HELI.CA,5861,0.532,1174,0.7625,0.6977,0.8407,0.29,0.8072,0.7733,0.6919,0.8764,0.48,0.8056,0.0141,-0.0016,True,-9.3425,0.0,True
HRHO.CA,5815,0.531,1164,0.765,0.8014,0.7319,0.48,0.8277,0.7712,0.742,0.8028,0.49,0.8256,0.0081,-0.0021,True,-15.4283,0.0,True
ICFC.CA,1703,0.533,341,0.779,0.7125,0.8593,0.41,0.8116,0.7803,0.6597,0.9548,0.46,0.7888,0.0016,-0.0228,True,-8.3001,0.0,True
IFAP.CA,2898,0.462,581,0.7756,0.7368,0.8187,0.32,0.8195,0.8081,0.7513,0.8743,0.42,0.8337,0.0419,0.0142,True,1.3381,0.181388,False
ISMA.CA,2912,0.454,584,0.7301,0.6686,0.8041,0.47,0.7911,0.7278,0.6313,0.8591,0.49,0.7761,-0.0032,-0.015,False,-7.302,0.0,False
ISPH.CA,1951,0.432,391,0.8115,0.7177,0.9336,0.47,0.7844,0.8076,0.7209,0.918,0.47,0.7763,-0.0049,-0.0081,False,-7.4363,0.0,False
JUFO.CA,3758,0.5,753,0.8075,0.8258,0.79,0.45,0.8371,0.8014,0.7924,0.8105,0.48,0.8033,-0.0076,-0.0337,False,-12.3547,0.0,False
KABO.CA,2911,0.458,584,0.7291,0.7603,0.7003,0.46,0.7819,0.7224,0.7687,0.6814,0.47,0.7821,-0.0091,0.0001,False,9.5589,0.0,False
LCSW.CA,2805,0.446,562,0.7555,0.677,0.8546,0.4,0.8096,0.7388,0.6959,0.7872,0.47,0.7868,-0.0221,-0.0227,False,-8.2274,0.0,False
MASR.CA,5497,0.539,1101,0.7518,0.7147,0.7929,0.37,0.8048,0.7343,0.7201,0.7492,0.5,0.738,-0.0232,-0.0668,False,-9.878,0.0,False
MCQE.CA,2833,0.461,568,0.8074,0.8213,0.7939,0.44,0.8222,0.8172,0.8127,0.8217,0.44,0.8332,0.0121,0.011,True,10.6285,0.0,True
MCRO.CA,430,0.421,87,0.6727,0.5606,0.8409,0.47,0.6237,0.6118,0.6341,0.5909,0.5,0.6324,-0.0906,0.0087,False,-0.3615,0.71864,False
MENA.CA,2900,0.513,580,0.7702,0.7618,0.7788,0.34,0.8289,0.7623,0.6958,0.8429,0.48,0.7883,-0.0102,-0.0406,False,-6.4691,0.0,False
MFPC.CA,2261,0.527,454,0.6528,0.534,0.8396,0.45,0.7372,0.6406,0.6244,0.6578,0.46,0.7683,-0.0187,0.0311,False,6.3094,0.0,False
MOIL.CA,2888,0.383,578,0.7233,0.6497,0.8156,0.49,0.7943,0.7032,0.7007,0.7057,0.5,0.7756,-0.0278,-0.0187,False,-8.9735,0.0,False
MPCI.CA,2724,0.446,546,0.7424,0.7424,0.7424,0.52,0.794,0.7323,0.7623,0.7045,0.6,0.7875,-0.0137,-0.0065,False,8.7381,0.0,False
MPCO.CA,2906,0.463,582,0.7624,0.6943,0.8454,0.37,0.7934,0.7594,0.7024,0.8265,0.43,0.7936,-0.004,0.0002,False,-5.15,0.0,False
MPRC.CA,2897,0.511,581,0.7319,0.7432,0.7209,0.47,0.8077,0.7544,0.7298,0.7807,0.5,0.7898,0.0308,-0.0179,True,-10.8725,0.0,True
MTIE.CA,2112,0.519,424,0.6952,0.7684,0.6348,0.45,0.7777,0.6918,0.7538,0.6391,0.47,0.7526,-0.005,-0.0251,False,-4.8858,1e-06,False
NIPH.CA,2597,0.476,521,0.6589,0.7282,0.6017,0.52,0.7641,0.6253,0.8013,0.5127,0.49,0.7718,-0.051,0.0076,False,-2.0876,0.037323,False
OCDI.CA,5902,0.508,1181,0.676,0.7278,0.6311,0.4,0.7592,0.6841,0.7585,0.623,0.44,0.7643,0.0119,0.0051,True,4.5842,5e-06,True
ORHD.CA,3208,0.43,643,0.7312,0.8153,0.6629,0.52,0.8099,0.7161,0.8315,0.6289,0.58,0.8023,-0.0207,-0.0076,False,-0.2961,0.767227,False
ORWE.CA,2892,0.525,579,0.6915,0.6915,0.6915,0.46,0.7409,0.6831,0.6783,0.6879,0.5,0.743,-0.0121,0.002,False,1.1049,0.269669,False
PHAR.CA,2858,0.498,573,0.612,0.7783,0.5042,0.52,0.7053,0.8029,0.8206,0.7859,0.51,0.762,0.312,0.0567,True,-2.2547,0.024527,True
PHDC.CA,4296,0.476,860,0.7569,0.767,0.747,0.49,0.7985,0.7652,0.7714,0.759,0.5,0.7959,0.011,-0.0025,True,-12.0872,0.0,True
POUL.CA,2584,0.515,518,0.7509,0.8346,0.6824,0.51,0.7855,0.6228,0.8525,0.4906,0.59,0.7961,-0.1706,0.0106,False,3.2375,0.001283,False
PRCL.CA,2923,0.472,586,0.7013,0.8008,0.6238,0.5,0.7834,0.7197,0.7233,0.7162,0.48,0.788,0.0263,0.0045,True,9.5889,0.0,True
RAYA.CA,2527,0.45,506,0.7035,0.7257,0.6825,0.48,0.763,0.7167,0.6287,0.8333,0.41,0.7685,0.0188,0.0055,True,7.9596,0.0,True
RMDA.CA,1436,0.456,289,0.5727,0.7558,0.461,0.48,0.737,0.6196,0.693,0.5603,0.51,0.7341,0.0819,-0.0029,True,-0.483,0.629489,False
SAUD.CA,5689,0.506,1138,0.7225,0.7967,0.661,0.41,0.7977,0.7869,0.7507,0.8267,0.48,0.7955,0.089,-0.0021,True,-1.8906,0.058933,False
SCEM.CA,2409,0.439,483,0.6823,0.5851,0.8182,0.45,0.7613,0.6875,0.6627,0.7143,0.41,0.7585,0.0076,-0.0028,True,4.0121,7e-05,True
SKPC.CA,4990,0.509,999,0.7518,0.7478,0.7558,0.47,0.7971,0.7523,0.7577,0.7469,0.39,0.8012,0.0006,0.0041,True,8.0954,0.0,True
SUGR.CA,2888,0.472,578,0.723,0.7945,0.6634,0.47,0.7972,0.6979,0.8087,0.6139,0.49,0.7804,-0.0347,-0.0168,False,-5.9155,0.0,False
SVCE.CA,2917,0.451,584,0.7807,0.797,0.765,0.5,0.8174,0.7865,0.803,0.7708,0.5,0.8212,0.0075,0.0039,True,-12.1735,0.0,True
SWDY.CA,4768,0.529,955,0.7424,0.7002,0.79,0.47,0.7567,0.7175,0.7567,0.6822,0.29,0.7529,-0.0335,-0.0038,False,-1.4676,0.142532,False
