Ticker,Samples,Train_Pos_Ratio,Test,Endo_F1,Endo_Precision,Endo_Recall,Endo_Threshold,Endo_AUC,Exo_F1,Exo_Precision,Exo_Recall,Exo_Threshold,Exo_AUC,F1_Lift,AUC_Lift,Exo_Better,DM_Stat,P_Value,Significant
ABUK.CA,5625,0.555,1115,0.8346,0.7932,0.8805,0.33,0.8744,0.8275,0.7881,0.8711,0.42,0.8623,-0.0085,-0.012,False,-13.2839,0.0,False
ADIB.CA,5832,0.496,1157,0.8014,0.7634,0.8434,0.48,0.8384,0.8125,0.7643,0.8671,0.36,0.8508,0.0138,0.0124,True,13.6861,0.0,True
AIH.CA,2907,0.448,572,0.7765,0.7674,0.7857,0.48,0.8467,0.7627,0.7601,0.7653,0.51,0.856,-0.0177,0.0093,False,2.4343,0.015226,False
AMER.CA,2871,0.444,565,0.826,0.7684,0.893,0.38,0.8618,0.8104,0.7692,0.8563,0.43,0.8568,-0.0189,-0.005,False,-5.3383,0.0,False
AMOC.CA,4727,0.505,936,0.7832,0.7577,0.8104,0.49,0.812,0.7963,0.7703,0.824,0.43,0.8271,0.0167,0.0151,True,13.7518,0.0,True
ARCC.CA,2816,0.465,554,0.8023,0.8239,0.7819,0.46,0.8114,0.7667,0.8241,0.7167,0.5,0.8057,-0.0444,-0.0057,False,-9.3818,0.0,False
ASCM.CA,2670,0.457,525,0.7692,0.7167,0.8301,0.49,0.8187,0.7815,0.7509,0.8147,0.47,0.8418,0.0159,0.0231,True,11.8324,0.0,True
ASPI.CA,2901,0.495,571,0.774,0.7256,0.8293,0.44,0.8503,0.7624,0.7241,0.8049,0.49,0.8283,-0.015,-0.022,False,-13.116,0.0,False
BIOC.CA,2036,0.484,399,0.795,0.7649,0.8276,0.36,0.8164,0.7796,0.7403,0.8233,0.48,0.7765,-0.0194,-0.0399,False,-7.7375,0.0,False
BTFH.CA,3557,0.442,702,0.7289,0.6223,0.8796,0.47,0.8236,0.7147,0.6205,0.8426,0.48,0.8011,-0.0195,-0.0224,False,-15.2471,0.0,False
CERA.CA,2908,0.441,573,0.7945,0.727,0.8758,0.4,0.8456,0.7856,0.71,0.8792,0.38,0.8432,-0.0112,-0.0024,False,0.1578,0.874661,False
CICH.CA,1837,0.503,359,0.7949,0.7881,0.8017,0.43,0.8052,0.7797,0.7973,0.7629,0.5,0.7732,-0.019,-0.032,False,-8.5093,0.0,False
CIEB.CA,4992,0.533,989,0.7774,0.6834,0.9014,0.47,0.8187,0.7761,0.6909,0.8853,0.37,0.8268,-0.0017,0.0081,False,13.3863,0.0,False
CLHO.CA,2202,0.515,431,0.8209,0.756,0.898,0.4,0.8636,0.8298,0.7806,0.8857,0.35,0.8703,0.0109,0.0068,True,4.0199,6.9e-05,True
COMI.CA,5862,0.588,1164,0.8086,0.7455,0.8833,0.49,0.8475,0.8259,0.8017,0.8515,0.4,0.8759,0.0214,0.0284,True,17.9301,0.0,True
COSG.CA,2690,0.562,529,0.7827,0.6997,0.8881,0.23,0.8349,0.7467,0.637,0.9021,0.28,0.8024,-0.046,-0.0325,False,-4.094,4.9e-05,False
CSAG.CA,2911,0.505,574,0.8017,0.7682,0.8384,0.42,0.8343,0.8006,0.7765,0.8262,0.41,0.8382,-0.0014,0.0039,False,2.2099,0.027506,False
DSCW.CA,2016,0.44,394,0.7573,0.8023,0.7172,0.61,0.866,0.7397,0.8084,0.6818,0.59,0.8585,-0.0232,-0.0075,False,-3.8367,0.000145,False
EAST.CA,5806,0.56,1152,0.7978,0.7326,0.8756,0.35,0.8472,0.7986,0.7487,0.8556,0.48,0.8236,0.001,-0.0237,True,-14.4569,0.0,True
ECAP.CA,2902,0.505,571,0.7791,0.7915,0.7671,0.49,0.8529,0.7893,0.7712,0.8082,0.45,0.8553,0.013,0.0023,True,13.7376,0.0,True
EFID.CA,2503,0.446,491,0.7412,0.7617,0.7218,0.5,0.8128,0.7536,0.7613,0.746,0.54,0.8351,0.0167,0.0223,True,8.0154,0.0,True
EFIH.CA,1010,0.487,193,0.8303,0.7325,0.9583,0.45,0.8649,0.8433,0.7635,0.9417,0.46,0.8394,0.0156,-0.0255,True,-3.9279,0.000119,True
EGAL.CA,2884,0.491,568,0.7917,0.8676,0.7281,0.6,0.8739,0.7956,0.8685,0.7339,0.53,0.8662,0.0048,-0.0077,True,-9.2087,0.0,True
EGCH.CA,2903,0.478,571,0.7505,0.7605,0.7407,0.5,0.864,0.7855,0.7714,0.8,0.49,0.8631,0.0466,-0.0008,True,6.3552,0.0,True
EGTS.CA,2909,0.474,573,0.7624,0.7433,0.7825,0.44,0.8217,0.75,0.7324,0.7684,0.49,0.7948,-0.0163,-0.0269,False,-8.3077,0.0,False
EHDR.CA,2899,0.487,571,0.7599,0.6642,0.8878,0.29,0.8568,0.75,0.6374,0.9109,0.48,0.8388,-0.013,-0.018,False,-12.004,0.0,False
EKHO.CA,5178,0.491,1026,0.7113,0.5975,0.8788,0.48,0.8423,0.7466,0.6452,0.8858,0.39,0.8629,0.0495,0.0206,True,20.6098,0.0,True
ELEC.CA,2908,0.483,573,0.7882,0.8027,0.7742,0.49,0.8503,0.7624,0.7804,0.7452,0.5,0.8139,-0.0327,-0.0364,False,-11.6287,0.0,False
ELKA.CA,2764,0.516,543,0.82,0.7529,0.9003,0.47,0.8532,0.8097,0.7224,0.921,0.34,0.8622,-0.0126,0.009,False,11.4146,0.0,False
ELSH.CA,2892,0.51,569,0.7982,0.7246,0.8885,0.47,0.857,0.8083,0.7391,0.8918,0.47,0.8526,0.0126,-0.0044,True,-1.8806,0.060534,False
EMFD.CA,2549,0.488,501,0.7752,0.7605,0.7905,0.5,0.8329,0.7757,0.7473,0.8063,0.49,0.871,0.0006,0.0381,True,16.6643,0.0,True
ENGC.CA,2891,0.467,569,0.7748,0.8119,0.741,0.48,0.8234,0.7751,0.8237,0.7319,0.51,0.8269,0.0004,0.0036,True,1.9045,0.057352,False
ETEL.CA,4887,0.513,969,0.8041,0.8348,0.7756,0.54,0.8404,0.8096,0.8157,0.8036,0.51,0.8416,0.0069,0.0012,True,1.2308,0.21871,False
ETRS.CA,2910,0.495,573,0.7877,0.7574,0.8205,0.46,0.8575,0.7786,0.7434,0.8173,0.48,0.8492,-0.0115,-0.0083,False,-9.1293,0.0,False
EXPA.CA,5833,0.502,1158,0.7931,0.7548,0.8355,0.38,0.8501,0.7859,0.7343,0.8454,0.37,0.8453,-0.0091,-0.0048,False,-2.7697,0.0057,False
FAIT.CA,5253,0.544,1041,0.8231,0.8027,0.8447,0.47,0.8747,0.8191,0.8286,0.8098,0.52,0.8752,-0.0049,0.0006,False,8.4702,0.0,False
FWRY.CA,1545,0.52,300,0.7809,0.775,0.7868,0.49,0.7759,0.78,0.7685,0.7919,0.5,0.74,-0.0011,-0.0359,False,-7.388,0.0,False
GBCO.CA,4474,0.486,886,0.8144,0.8057,0.8233,0.5,0.825,0.8318,0.8349,0.8288,0.5,0.8394,0.0214,0.0144,True,19.8418,0.0,True
GGCC.CA,2910,0.475,573,0.7681,0.7242,0.8176,0.4,0.8338,0.7679,0.7288,0.8113,0.4,0.8303,-0.0003,-0.0034,False,2.3827,0.017511,False
HDBK.CA,5771,0.522,1145,0.8063,0.791,0.8223,0.46,0.8518,0.8052,0.8463,0.768,0.5,0.8624,-0.0014,0.0106,False,13.685,0.0,False
HELI.CA,5861,0.532,1164,0.7935,0.704,0.9089,0.25,0.8566,0.792,0.7047,0.9041,0.45,0.8427,-0.0018,-0.0139,False,-12.257,0.0,False
HRHO.CA,5815,0.531,1154,0.7734,0.7268,0.8265,0.5,0.8229,0.8003,0.756,0.8502,0.38,0.8585,0.0347,0.0356,True,16.2092,0.0,True
ICFC.CA,1703,0.533,331,0.8018,0.7,0.9381,0.42,0.8481,0.8205,0.7489,0.9072,0.39,0.8413,0.0234,-0.0068,True,7.2386,0.0,True
IFAP.CA,2898,0.462,571,0.8277,0.7813,0.8799,0.46,0.8651,0.8275,0.7763,0.8859,0.46,0.8597,-0.0002,-0.0054,False,2.936,0.003459,False
ISMA.CA,2912,0.454,574,0.7375,0.6735,0.8149,0.35,0.8137,0.7311,0.6352,0.8612,0.36,0.8216,-0.0087,0.0079,False,0.2683,0.788535,False
ISPH.CA,1951,0.432,381,0.8344,0.8571,0.8127,0.5,0.8571,0.8444,0.8566,0.8327,0.48,0.8527,0.0121,-0.0044,True,-3.2978,0.001066,True
JUFO.CA,3758,0.5,743,0.8368,0.7909,0.8884,0.4,0.8688,0.8199,0.7811,0.8628,0.47,0.8427,-0.0202,-0.0262,False,-9.2239,0.0,False
KABO.CA,2911,0.458,574,0.7982,0.7745,0.8233,0.46,0.8553,0.791,0.7507,0.836,0.5,0.8317,-0.0089,-0.0236,False,-15.4938,0.0,False
