feature,importance,category,Ticker
tech_volume_ratio_w0_std,0.0543334745146955,Technical,ABUK.CA
tech_rsi_14_w0_mean,0.036150073540547334,Technical,ABUK.CA
tech_macd_w1_std,0.033655150959541524,Technical,ABUK.CA
tech_ret_2w_w0_last,0.031246832713947903,Technical,ABUK.CA
macro_eur_usd_w0_mean,0.02952982409902316,Macro,ABUK.CA
tech_ret_2w_w1_mean,0.02857848141754782,Technical,ABUK.CA
tech_ret_1m_w1_std,0.02724930826781735,Technical,ABUK.CA
price_w1_mean,0.023684800462187683,Price,ABUK.CA
macro_sp500_w1_std,0.022909511202820365,Macro,ABUK.CA
tech_mom_20_w1_last,0.01998732905461864,Technical,ABUK.CA
tech_macd_signal_w0_mean,0.018723847265171623,Technical,ABUK.CA
tech_volume_ratio_w0_last,0.016953184303421187,Technical,ABUK.CA
macro_sp500_w0_std,0.0168738252813998,Macro,ABUK.CA
macro_vix_w0_mean,0.016149195952751105,Macro,ABUK.CA
macro_gold_local_w0_mean,0.015404489862524962,Macro,ABUK.CA
tech_rsi_14_w1_std,0.013354295774218983,Technical,ABUK.CA
macro_inflation_w1_last,0.013254360126527587,Macro,ABUK.CA
tech_macd_w1_mean,0.011985563645544373,Technical,ABUK.CA
macro_oil_w0_mean,0.006650759990697752,Macro,ABUK.CA
macro_msci_em_w0_last,0.005887962973545324,Macro,ABUK.CA
tech_volume_ratio_w1_std,0.003085014822192589,Technical,ABUK.CA
macro_inflation_w0_std,0.0029753147429527615,Macro,ABUK.CA
macro_gold_intl_w0_std,0.0024139060587218264,Macro,ABUK.CA
macro_gold_intl_w0_last,0.0018725550024085713,Macro,ABUK.CA
macro_inflation_w1_std,0.0017463752735951132,Macro,ABUK.CA
tech_ret_1w_w0_last,0.00030259082126704584,Technical,ABUK.CA
macro_vix_w1_std,0.0,Macro,ABUK.CA
macro_vix_w0_std,0.0,Macro,ABUK.CA
macro_msci_em_w0_std,0.0,Macro,ABUK.CA
macro_eur_usd_w1_std,0.0,Macro,ABUK.CA
macro_gold_intl_w1_std,0.0,Macro,ABUK.CA
macro_eur_usd_w0_std,0.0,Macro,ABUK.CA
macro_gold_local_w0_std,0.0,Macro,ABUK.CA
macro_oil_w1_std,0.0,Macro,ABUK.CA
macro_oil_w0_std,0.0,Macro,ABUK.CA
macro_cbe_rate_w1_std,0.0,Macro,ABUK.CA
macro_cbe_rate_w0_std,0.0,Macro,ABUK.CA
macro_usd_egp_w1_std,0.0,Macro,ABUK.CA
tech_volume_ratio_w1_last,0.0,Technical,ABUK.CA
tech_mom_20_w1_mean,0.0,Technical,ABUK.CA
tech_mom_20_w0_last,0.0,Technical,ABUK.CA
tech_mom_20_w0_mean,0.0,Technical,ABUK.CA
tech_rsi_14_w1_last,0.0,Technical,ABUK.CA
tech_rsi_14_w0_std,0.0,Technical,ABUK.CA
tech_ret_1m_w0_last,0.0,Technical,ABUK.CA
macro_msci_em_w1_std,0.0,Macro,ABUK.CA
