Ticker,Test_Precision,Test_Recall,Test_Accuracy,Training_Sample_Size,Test_Sample_Size,Buy_Signals_Predicted,Actual_Buys
EFIH.CA,0.48484848484848486,0.21052631578947367,0.6030927835051546,773,194,33,76
SKPC.CA,0.4485981308411215,0.4247787610619469,0.5929978118161926,3656,914,321,339
FWRY.CA,0.44144144144144143,0.7967479674796748,0.5016722408026756,1195,299,222,123
PHDC.CA,0.43131868131868134,0.4801223241590214,0.5245901639344263,3172,793,364,327
GBCO.CA,0.43023255813953487,0.44047619047619047,0.5229813664596273,3219,805,344,336
ISPH.CA,0.42857142857142855,0.525,0.5013262599469496,1504,377,196,160
ADIB.CA,0.4078341013824885,0.44923857868020306,0.5311572700296736,4040,1011,434,394
ORHD.CA,0.40747330960854095,0.9870689655172413,0.4074074074074074,2264,567,562,232
SWDY.CA,0.4064748201438849,0.6746268656716418,0.4948216340621404,3472,869,556,335
ETEL.CA,0.4040590405904059,0.6311239193083573,0.49268841394825647,3554,889,542,347
CLHO.CA,0.4,0.9285714285714286,0.41843971631205673,1692,423,390,168
JUFO.CA,0.39655172413793105,0.5207547169811321,0.5219858156028369,2819,705,348,265
CIEB.CA,0.39285714285714285,0.6352583586626139,0.4965909090909091,3518,880,532,329
HRHO.CA,0.3857677902621723,0.5188916876574308,0.4871541501976285,4046,1012,534,397
AMOC.CA,0.3850746268656716,0.42295081967213116,0.5746102449888641,3592,898,335,305
ABUK.CA,0.37791932059447986,0.49444444444444446,0.5082815734989649,3862,966,471,360
EMFD.CA,0.37767220902612825,0.8548387096774194,0.3991683991683992,1923,481,421,186
COMI.CA,0.3761996161228407,0.5025641025641026,0.49117647058823527,4078,1020,521,390
HDBK.CA,0.3752212389380531,0.6022727272727273,0.5015166835187057,3953,989,565,352
EKHO.CA,0.37333333333333335,0.224,0.7151335311572701,4044,1011,150,250
MFPC.CA,0.3732394366197183,0.41732283464566927,0.6218097447795824,1722,431,142,127
MASR.CA,0.373134328358209,0.49295774647887325,0.48026315789473684,3644,912,469,355
OCDI.CA,0.3712121212121212,0.6182965299684543,0.548804780876494,4013,1004,528,317
HELI.CA,0.3700787401574803,0.5040214477211796,0.48205128205128206,3896,975,508,373
BTFH.CA,0.3696969696969697,0.782051282051282,0.4097560975609756,2460,615,495,234
EAST.CA,0.36524300441826213,0.6888888888888889,0.43260188087774293,3828,957,679,360
EXPA.CA,0.3612167300380228,0.572289156626506,0.5285996055226825,4055,1014,526,332
CICH.CA,0.35987261146496813,0.889763779527559,0.38571428571428573,1397,350,314,127
EFID.CA,0.3377777777777778,0.5205479452054794,0.5186813186813187,1818,455,225,146
SAUD.CA,0.33003300330033003,0.6410256410256411,0.4592901878914405,3831,958,606,312
FAIT.CA,0.3067226890756303,0.5488721804511278,0.5092693565976009,3665,917,476,266
EGBE.CA,0.2068230277185501,0.6423841059602649,0.5511064278187566,3792,949,469,151
