Ticker,Samples,Train_Pos_Ratio,Test,Endo_F1,Endo_Precision,Endo_Recall,Endo_Threshold,Endo_AUC,Exo_F1,Exo_Precision,Exo_Recall,Exo_Threshold,Exo_AUC,F1_Lift,AUC_Lift,Exo_Better,DM_Stat,P_Value,Significant
ABUK.CA,1664,0.547,251,0.7333,0.5789,1.0,0.48,0.5904,0.6935,0.5633,0.9021,0.46,0.5353,-0.0543,-0.0552,False,-2.2064,0.028264,False
ADIB.CA,2092,0.496,315,0.5954,0.628,0.5659,0.5,0.5697,0.3724,0.5,0.2967,0.51,0.4473,-0.3745,-0.1224,False,-3.601,0.000368,False
AMOC.CA,1556,0.518,234,0.3636,0.5312,0.2764,0.5,0.4706,0.4734,0.5833,0.3984,0.5,0.5404,0.3019,0.0698,True,-0.1576,0.874881,False
BTFH.CA,1367,0.463,206,0.4839,0.5625,0.4245,0.5,0.5549,0.2963,0.6897,0.1887,0.5,0.5881,-0.3877,0.0333,False,-0.5629,0.574104,False
CICH.CA,662,0.501,100,0.75,0.6196,0.95,0.49,0.4915,0.3736,0.5484,0.2833,0.5,0.4642,-0.5018,-0.0273,False,-1.7967,0.075426,False
CLHO.CA,804,0.502,122,0.4174,0.6316,0.3117,0.5,0.4346,0.6784,0.617,0.7532,0.49,0.4483,0.6252,0.0137,True,2.9443,0.003882,True
COMI.CA,1900,0.591,285,0.5659,0.6519,0.5,0.5,0.556,0.339,0.6667,0.2273,0.5,0.5503,-0.401,-0.0057,False,-0.2138,0.830886,False
EFID.CA,792,0.464,120,0.45,0.5094,0.403,0.5,0.4454,0.5379,0.5,0.5821,0.5,0.4403,0.1954,-0.0051,True,-0.5424,0.588558,False
EFIH.CA,391,0.495,60,0.3273,0.5,0.2432,0.5,0.3678,0.5484,0.68,0.4595,0.5,0.5376,0.6756,0.1698,True,0.4666,0.64248,False
EKHO.CA,1563,0.499,235,0.25,0.36,0.1915,0.5,0.5084,0.5329,0.3949,0.8191,0.46,0.5006,1.1315,-0.0078,True,-3.1776,0.001685,True
EMFD.CA,946,0.485,143,0.5036,0.5385,0.473,0.5,0.5309,0.4098,0.5208,0.3378,0.5,0.4745,-0.1862,-0.0564,False,-1.2234,0.22319,False
ETEL.CA,1656,0.519,249,0.5455,0.6545,0.4675,0.5,0.5375,0.6198,0.6101,0.6299,0.5,0.5055,0.1363,-0.032,True,-0.3703,0.711477,False
EXPA.CA,1918,0.515,289,0.7051,0.5564,0.9623,0.49,0.5598,0.4931,0.5504,0.4465,0.5,0.5181,-0.3007,-0.0418,False,-0.9434,0.346274,False
FAIT.CA,1534,0.528,231,0.3109,0.5,0.2256,0.5,0.4614,0.5665,0.66,0.4962,0.45,0.6029,0.8223,0.1415,True,-1.0091,0.313996,False
GBCO.CA,1665,0.5,251,0.3232,0.5926,0.2222,0.5,0.5344,0.2947,0.6087,0.1944,0.5,0.4888,-0.0882,-0.0456,False,2.1729,0.030725,False
HDBK.CA,1876,0.513,282,0.5894,0.6953,0.5115,0.5,0.5452,0.4765,0.6408,0.3793,0.51,0.5378,-0.1915,-0.0074,False,1.5973,0.111317,False
HELI.CA,2229,0.524,335,0.5967,0.5187,0.7022,0.49,0.4664,0.1415,0.4412,0.0843,0.5,0.5509,-0.7628,0.0845,False,0.722,0.470817,False
HRHO.CA,2193,0.533,330,0.4759,0.5827,0.4022,0.5,0.5241,0.3678,0.6234,0.2609,0.51,0.5671,-0.2271,0.043,False,0.5866,0.557872,False
ISPH.CA,759,0.46,115,0.7209,0.6263,0.8493,0.47,0.4711,0.2857,0.7222,0.1781,0.55,0.4938,-0.6037,0.0227,False,-0.2275,0.820409,False
JUFO.CA,1364,0.494,206,0.4906,0.5098,0.4727,0.49,0.5137,0.5944,0.5324,0.6727,0.5,0.4327,0.2116,-0.081,True,0.1769,0.859761,False
MFPC.CA,819,0.538,124,0.3441,0.4571,0.2759,0.56,0.5206,0.5185,0.56,0.4828,0.52,0.5737,0.5069,0.053,True,1.1127,0.268028,False
OCDI.CA,2244,0.515,338,0.6498,0.5066,0.9059,0.49,0.4424,0.5296,0.5629,0.5,0.5,0.5632,-0.185,0.1208,False,1.7479,0.081392,False
ORHD.CA,1261,0.443,190,0.5702,0.5462,0.5963,0.5,0.4416,0.6593,0.5488,0.8257,0.5,0.4478,0.1564,0.0062,True,1.5749,0.116959,False
SAUD.CA,1926,0.5,290,0.45,0.5943,0.3621,0.44,0.4975,0.5473,0.6639,0.4655,0.5,0.577,0.2162,0.0795,True,4.534,8e-06,True
SKPC.CA,1709,0.513,257,0.6789,0.5265,0.9556,0.49,0.5165,0.6842,0.5306,0.963,0.49,0.5216,0.0078,0.0051,True,0.3413,0.733191,False
