Ticker,Sector,Window,Window_Days,N_Folds,N_Test_Samples,F1_Baseline,F1_Enhanced,Lift_%,Precision_Baseline,Precision_Enhanced,Recall_Baseline,Recall_Enhanced,DM_Stat,P_Value,Significant_Alpha?
ABUK.CA,Industrial,Reactionary,126,92,5796,0.4383681550065209,0.4133313412297493,-5.71136691633067,0.43281319374164734,0.43796063742641683,0.49915990703125646,0.45127360187022353,6.030027901041633,1.740496413660253e-09,Yes
ABUK.CA,Industrial,Tactical,378,88,5544,0.4655283877375267,0.43400143345534015,-6.772294689784205,0.4472818359217484,0.43337267993198475,0.5152896928097062,0.4878248385024669,4.530971228770174,5.994586492308329e-06,Yes
ABUK.CA,Industrial,Strategic,756,82,5166,0.4691479772046018,0.43963783685292024,-6.290156152333097,0.4480664494769698,0.42765993592619533,0.5201702142497494,0.5058648451829377,4.619344240122889,3.943073221268634e-06,Yes
ADIB.CA,Banking,Reactionary,126,98,6048,0.44263126347237575,0.42040243735848515,-5.021973807161473,0.4416427295678953,0.423626219473144,0.4841791786884788,0.4708748519511737,-3.6069074328642703,0.00031236855009075803,Yes
ADIB.CA,Banking,Tactical,378,94,5922,0.4820600156353376,0.4644168964128772,-3.6599424657129944,0.46858296261331966,0.45737892642789685,0.5346235290241104,0.5290642628832627,-0.931430430965346,0.35166893122272525,No
ADIB.CA,Banking,Strategic,756,88,5544,0.47399656585222677,0.47676854316297157,0.5848095767868899,0.4715752671287492,0.4637645484991719,0.5163414268795822,0.5379737031129697,-2.0008026060560025,0.045462345218321154,Yes
AMOC.CA,Industrial,Reactionary,126,75,4725,0.4757536890100679,0.4584483395238455,-3.6374598633656006,0.4681965306512954,0.4611467255921977,0.5070024275359593,0.49870540354523407,-0.1643622080521769,0.8694530444046116,No
AMOC.CA,Industrial,Tactical,378,71,4473,0.47955730040871447,0.43394872433079257,-9.510558183360127,0.47283447614668445,0.43881243675223397,0.5154843215516064,0.4822779037663985,0.2479289056964083,0.8042007973554068,No
AMOC.CA,Industrial,Strategic,756,65,4095,0.47911979219595846,0.42951417190121216,-10.353490108890712,0.467759764296757,0.4473823160203508,0.507133023108328,0.4714727172424306,1.0921998599346683,0.2748095313907539,No
BTFH.CA,Financial Services,Reactionary,126,57,3591,0.3968236155408351,0.38536158247621066,-2.888445298045765,0.4094793417166248,0.4024223058531927,0.4280969932199053,0.4287540591444016,2.7165307881399112,0.006628631974543664,Yes
BTFH.CA,Financial Services,Tactical,378,53,3339,0.4196953428040228,0.40458760653654685,-3.599691187073892,0.4141085590733781,0.43794574722941765,0.4739600474388664,0.475481555581469,1.7748346947046296,0.07601630061674314,No
BTFH.CA,Financial Services,Strategic,756,47,2961,0.43520209223939293,0.42011925579257764,-3.465708624975689,0.4141023145372225,0.3930087863695356,0.5032874891511518,0.5196150389706596,0.6117700566071773,0.5407368875943459,No
CICH.CA,Financial Services,Reactionary,126,64,1827,0.40768420424954266,0.4170969632982185,2.3088358466089365,0.41295539858833297,0.41730264958457497,0.4533590729443991,0.4869071967557954,-1.981361536201289,0.04770052143115633,Yes
CICH.CA,Financial Services,Tactical,378,60,1827,0.44116829360816245,0.4056298892763309,-8.055520953506257,0.42466688989552176,0.38655629499193045,0.5301238606190333,0.5117679865805804,2.5333850360499994,0.011379728312334247,Yes
CICH.CA,Financial Services,Strategic,756,54,1827,0.47212513202156764,0.4635731089947691,-1.8113890675931765,0.42374830022924587,0.4117241213752376,0.6222825208570238,0.6439833132982525,2.4093351076045617,0.01608002725990243,Yes
CIEB.CA,Banking,Reactionary,126,84,5166,0.41380986321929325,0.3986363764481691,-3.666777455007912,0.42130402778625503,0.4165188806359581,0.4536474456950078,0.4542671887694385,2.7457880694696932,0.006057472251755236,Yes
CIEB.CA,Banking,Tactical,378,80,5040,0.43132953710374744,0.4240040895860169,-1.6983412652235268,0.4376523301894695,0.43273800298773024,0.45643242610891754,0.4839827659366489,-0.7992840166093158,0.42416341793704637,No
CIEB.CA,Banking,Strategic,756,74,4662,0.44811624367710157,0.43297055901313847,-3.3798562042032563,0.44410837658453617,0.4479941964675947,0.48261783241418366,0.4789710510558162,0.8066188954330096,0.4199272384982433,No
CLHO.CA,Healthcare,Reactionary,126,33,2079,0.39789043011881425,0.36565705615942146,-8.101067912029846,0.40798034987479376,0.39992809160958287,0.42785490835190526,0.40183808843974084,1.6524969309751496,0.09858436043308094,No
CLHO.CA,Healthcare,Tactical,378,29,1827,0.42585198305574906,0.3901440437929836,-8.385058819390505,0.439165731716318,0.43154155690410206,0.4539560868596996,0.4455818891341052,-2.35253336213676,0.018751635038301462,Yes
CLHO.CA,Healthcare,Strategic,756,23,1449,0.4468797062380329,0.4014546773392844,-10.164934380473435,0.45954094803683715,0.4403117916537984,0.4743904200660997,0.459099599750086,-2.870913155852428,0.004152406017526422,Yes
COMI.CA,Banking,Reactionary,126,98,6111,0.45535884340972416,0.4409987992316888,-3.153566552152026,0.4650989652230195,0.47589581021341915,0.4843811153529763,0.47504369296340987,0.6087424479534311,0.5427177967767478,No
