Ticker,Sector,Window,F1_Enhanced,AUC_Enhanced,F1_Lift_%,Significant
ABUK.CA,Industrial,Long,0.5305292859355425,0.5627722406792174,4.071971464678492,Yes
ADIB.CA,Banking,Short,0.4687529454052185,0.5467319814688235,2.3800442014053207,Yes
AMOC.CA,Industrial,Short,0.4689807067565033,0.5422342776773157,2.860182890351453,No
BTFH.CA,Financial Services,Medium,0.37284436010939764,0.508659941249227,-9.507501583242936,Yes
CICH.CA,Financial Services,Short,0.47525005746421356,0.5772976066079515,10.83128947309327,Yes
CIEB.CA,Banking,Long,0.4834530634418944,0.5330492995049959,7.173776987416611,Yes
CLHO.CA,Healthcare,Long,0.4716836001361653,0.5154761904761905,9.580217415453978,No
COMI.CA,Banking,Long,0.5686214347078864,0.5551116757638497,8.807463937763448,Yes
EAST.CA,Consumer,Medium,0.49974459836688934,0.5279095465937571,-1.3167948617717515,No
EFID.CA,Consumer,Medium,0.37468649584034197,0.5352971102971102,10.178756289573473,Yes
EFIH.CA,Financial Services,Long,0.5469960594960595,0.6685019841269841,3.0305643759718706,No
EKHO.CA,Holdings,Short,0.36118097409306205,0.5220208363065505,3.287687148807825,Yes
EMFD.CA,Real Estate,Long,0.44065726180778086,0.5505602240896359,2.7951702663964415,No
ETEL.CA,Telecom,Long,0.5236833805074259,0.5429267877184544,0.04306774510897241,No
EXPA.CA,Banking,Short,0.46606859455971406,0.5460108604845446,1.0726408445138769,Yes
FAIT.CA,Banking,Long,0.4776305657686606,0.5207175576361625,1.79345580510382,No
FWRY.CA,Financial Services,Short,0.46987620521743556,0.5435300207039337,-10.397002132434187,No
GBCO.CA,Holdings,Long,0.49901450484760357,0.5327807293716385,-2.538670779564566,No
HDBK.CA,Banking,Long,0.46442112749141623,0.5186428650714364,2.9669888836161173,No
HELI.CA,Real Estate,Short,0.45044211956056446,0.5334274259531991,15.24508370143761,Yes
HRHO.CA,Financial Services,Long,0.48774887718198323,0.5347360649686232,14.408510484058915,No
ISPH.CA,Consumer,Medium,0.47194520919642546,0.5448490002061431,2.122020982042237,No
JUFO.CA,Consumer,Long,0.47630579694993186,0.5064226925338036,4.170867487995282,Yes
MASR.CA,Real Estate,Long,0.4713491337276966,0.5560489957041681,5.269503826438211,No
MFPC.CA,Industrial,Long,0.48616349369525413,0.5350437876299945,14.219404435566721,No
OCDI.CA,Real Estate,Medium,0.4802082990244957,0.565363788258525,4.403603488230301,Yes
ORAS.CA,Real Estate,Short,0.0,0.638888888888889,-100.0,Yes
ORHD.CA,Consumer,Medium,0.4248975470192575,0.5629990379990378,2.123883802079483,No
PHDC.CA,Real Estate,Long,0.4848235150891697,0.5599823115952148,2.7431118367468144,Yes
SAUD.CA,Banking,Long,0.4930374175849289,0.5393217893217892,4.16518246379549,No
SKPC.CA,Industrial,Long,0.4896429100376469,0.58252067002067,14.985346056443237,Yes
SWDY.CA,Industrial,Medium,0.5172697669988691,0.5360584610584611,6.4912562903141415,No
