Ticker,Technical_F1,Exogenous_F1,Exogenous_Better,Improvement_Pct,Technical_Precision,Exogenous_Precision,Technical_Recall,Exogenous_Recall,Statistically_Significant
EGBE.CA,0.9167,1.0,True,9.09%,1.0,1.0,0.8462,1.0,True
ORAS.CA,0.0741,0.6316,True,752.63%,1.0,1.0,0.0385,0.4615,True
SAUD.CA,0.7033,0.7433,True,5.69%,0.8323,0.7873,0.6089,0.704,True
CICH.CA,0.7545,0.7782,True,3.14%,0.8259,0.7273,0.6946,0.8368,True
COMI.CA,0.8038,0.828,True,3.01%,0.7396,0.7713,0.8802,0.8937,True
FWRY.CA,0.7798,0.8031,True,2.98%,0.8167,0.8201,0.7462,0.7868,True
CLHO.CA,0.6651,0.757,True,13.82%,0.8166,0.6962,0.561,0.8293,False
HDBK.CA,0.8006,0.8129,True,1.55%,0.7696,0.7969,0.8341,0.8297,True
JUFO.CA,0.8155,0.8253,True,1.2%,0.773,0.7908,0.863,0.863,True
EAST.CA,0.7943,0.7979,True,0.45%,0.7752,0.782,0.8144,0.8144,True
MASR.CA,0.7898,0.7915,True,0.22%,0.7303,0.77,0.8598,0.8142,True
PHDC.CA,0.7894,0.791,True,0.2%,0.7726,0.772,0.8068,0.8109,False
SWDY.CA,0.7818,0.783,True,0.16%,0.7396,0.7479,0.829,0.8216,False
GBCO.CA,0.8144,0.7545,False,-7.36%,0.8368,0.8475,0.7932,0.6799,True
FAIT.CA,0.823,0.7931,False,-3.64%,0.8003,0.8404,0.8471,0.7509,True
ISPH.CA,0.8114,0.785,False,-3.25%,0.8403,0.8393,0.7843,0.7373,True
EFID.CA,0.7516,0.7314,False,-2.68%,0.8072,0.7763,0.7031,0.6914,True
OCDI.CA,0.7618,0.7442,False,-2.3%,0.7297,0.6826,0.7967,0.818,True
HRHO.CA,0.7918,0.7785,False,-1.67%,0.7639,0.7475,0.8218,0.8123,True
EXPA.CA,0.7797,0.7685,False,-1.43%,0.7223,0.7115,0.847,0.8355,True
MFPC.CA,0.7087,0.7005,False,-1.16%,0.6489,0.6388,0.7807,0.7754,True
AMOC.CA,0.7888,0.7803,False,-1.07%,0.7659,0.7173,0.8131,0.8555,True
HELI.CA,0.7868,0.7784,False,-1.06%,0.7181,0.6981,0.8699,0.8797,True
ADIB.CA,0.8124,0.8043,False,-1.0%,0.762,0.7735,0.87,0.8375,True
SKPC.CA,0.8083,0.8007,False,-0.94%,0.7819,0.7868,0.8366,0.8151,False
BTFH.CA,0.7513,0.7465,False,-0.64%,0.6659,0.6961,0.8619,0.8048,True
EMFD.CA,0.7671,0.7626,False,-0.58%,0.786,0.7286,0.749,0.8,True
EKHO.CA,0.7239,0.7199,False,-0.55%,0.6274,0.6357,0.8555,0.8298,True
ORHD.CA,0.7652,0.7611,False,-0.53%,0.8425,0.7231,0.7009,0.8034,True
EFIH.CA,0.8259,0.8219,False,-0.49%,0.7378,0.7362,0.938,0.9302,True
CIEB.CA,0.7907,0.7869,False,-0.48%,0.7054,0.7059,0.8995,0.8889,True
ABUK.CA,0.8208,0.8172,False,-0.44%,0.8072,0.7674,0.8349,0.8738,True
ETEL.CA,0.7917,0.7893,False,-0.29%,0.8106,0.8075,0.7736,0.772,True
